Cancer,labels,Hybridization.REF,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
LIRI-JP,1,RK265_Cancer,923.2226609,3155.285489,407.1660637,4209.22412,192.5431427,71.65770261,86.83324541
LIRI-JP,1,RK266_Cancer,365.0806525,3197.835428,142.7557986,3659.321234,179.1370354,17.02674408,1374.264396
LIRI-JP,1,RK259_Cancer,114.6330657,987.9234774,26.48586208,1604.988159,0.151786433,20.71023058,48.85501957
LIRI-JP,1,RK260_Cancer,653.2417366,13526.39123,309.062188,3180.435276,47.4861495,23.32604781,200.1017162
LIRI-JP,1,RK261_Cancer,887.0095099,5174.281372,109.0679473,1248.265265,0.047169286,6.510427059,11.87699582
LIRI-JP,1,RK261_Cancer2,887.0095099,5174.281372,109.0679473,1248.265265,0.047169286,6.510427059,11.87699582
LIRI-JP,1,RK261_Cancer3,887.0095099,5174.281372,109.0679473,1248.265265,0.047169286,6.510427059,11.87699582
LIRI-JP,1,RK262_Cancer,0.635070704,5213.052503,17.66463398,578.8433126,0.33220914,3.298599663,60.68952917
LIRI-JP,1,RK263_Cancer,980.2826295,3313.12442,285.2718919,2683.925645,139.9503707,112.913412,93.26959694
LIRI-JP,1,RK254_Cancer,1085.62584,4803.337674,66.09700695,4722.821056,114.6916248,17.33785929,548.5272283
LIRI-JP,1,RK256_Cancer,190.1959015,4671.22036,537.2076158,4747.77789,147.9902162,19.474093,94.11226408
LIRI-JP,1,RK257_Cancer,164.7872751,16221.43632,586.4718829,2365.51984,57.92925678,5.942083682,67.57290846
LIRI-JP,1,RK258_Cancer,285.0848671,2684.517661,769.761921,2355.290406,112.5502931,12.86658462,146.3870758
LIRI-JP,1,RK237_Cancer,850.8123977,1357.425679,327.0342905,4200.637367,157.1891548,8.746880282,477.3496121
LIRI-JP,1,RK241_Cancer,367.5274144,2223.056144,69.23828113,1480.04569,0.955878138,6.543780448,95.66489861
LIRI-JP,1,RK243_Cancer,522.7476712,3789.778222,96.78103215,4045.350101,184.7237998,30.37996786,212.4455791
LIRI-JP,1,RK244_Cancer,119.6985738,928.3071875,326.5762338,7003.118746,0.573492083,100.8538945,55.21908318
LIRI-JP,1,RK245_Cancer,1184.151342,2791.755329,196.3893352,8915.942318,151.055453,31.47555053,878.7220605
LIRI-JP,1,RK235_Cancer,922.4555274,2120.237919,973.1399477,9480.69829,276.0571501,12.63978505,462.433749
LIRI-JP,1,RK236_Cancer,994.2533141,3556.865875,159.6643904,2372.81553,37.95647152,33.61495277,180.3325274
LIRI-JP,1,RK232_Cancer,626.4575179,3713.001216,620.8763644,2138.417493,117.2822229,20.9685261,238.800923
LIRI-JP,1,RK233_Cancer,169.5458256,3808.732742,290.3515272,2323.176191,0.458920836,92.71629188,46.44780503
LIRI-JP,1,RK233_Cancer2,169.5458256,3808.732742,290.3515272,2323.176191,0.458920836,92.71629188,46.44780503
LIRI-JP,1,RK229_Cancer,736.9009487,1922.591606,141.9514867,2667.861594,237.5447252,71.05986748,286.8159333
LIRI-JP,1,RK230_Cancer,1107.948202,7808.14736,155.5649045,2282.05184,16.02052801,30.16744157,248.1366719
LIRI-JP,1,RK227_Cancer,1196.417762,3016.668644,100.5677331,1712.751382,0.070842996,14.90062829,19.081525
LIRI-JP,1,RK228_Cancer,24.01657077,3368.153859,12.80965236,1539.285109,1.549240551,3.410615707,36.55293481
LIRI-JP,1,RK223_Cancer,1397.746744,7049.179159,417.4213135,5000.956727,211.4050269,6.184189513,329.0610452
LIRI-JP,1,RK224_Cancer,337.6272932,621.678103,4.20488481,1963.071829,22.54290332,0.612948549,594.7561514
LIRI-JP,1,RK222_Cancer,1090.45088,3012.209601,493.9206017,3690.809353,189.3916564,35.13157253,248.6105224
LIRI-JP,1,RK269_Cancer,27.69309591,168.0782855,5.724084781,65.08726351,6.493717881,1.301358522,4.784866255
LIRI-JP,1,RK272_Cancer,218.3576622,2.745707019,0.307957683,814.339974,0.248424328,0.033227523,3.000512848
LIRI-JP,1,RK208_Cancer,437.5282252,61.94333117,2.531070231,991.1745515,0.82001111,15.6208165,25.87676595
LIRI-JP,1,RK226_Cancer,149.863189,6.23294726,0.605911058,67.90923066,0.28593661,62.87368791,19.63927434
LIRI-JP,1,RK194_Cancer,31.75173254,16.37382355,0.731179724,66.91931779,0.995628855,65.9283604,2.447852042
LIRI-JP,1,RK182_Cancer,100.9873243,1.024974395,11.79679646,519.5595129,0.181964008,20.98747597,81.67797321
