Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA-2H-A9GN,0,0,7.5308,2.7111,638.0114,0.6025,0.3012,125.6141
TCGA-2H-A9GO,0,0,8.2843,1.9882,277.6903,0.3314,0,3.3137
TCGA-2H-A9GQ,0,0,3.4857,1.5492,1.5492,0,0,0
TCGA-2H-A9GR,0,0,16.6155,0.7728,9.6602,0.3864,1.932,0.7728
TCGA-IC-A6RE,0,0,67.9089,2.8986,30.6418,0,0,6.2112
TCGA-IC-A6RF,0,0,40.3503,7.0053,0.8406,0.5604,0.2802,0.5604
TCGA-IG-A3I8,0,0,1.8793,1.3423,0,0.2685,0,11.0072
TCGA-IG-A3QL,0,0,5.3262,38.8815,0.5326,0,0.2663,0
TCGA-IG-A3Y9,0,0,1.0753,128.4946,15.0538,3.7634,0,1.6129
TCGA-IG-A3YA,0,0,3.2385,2.4911,0,0.7473,0.2491,0.4982
TCGA-IG-A3YB,0,0,0.7575,2.6514,0,5.6816,0,0
TCGA-IG-A3YC,0,0,2.766,7.1125,3.5563,10.6688,0.3951,0.7903
TCGA-IG-A4P3,0,0.4172,2.0861,3.3377,0.4172,5.841,0.8344,0
TCGA-IG-A4QS,0,0,15188.536,0,0,0.5903,0,0.5903
TCGA-IG-A4QT,0,0,4.7054,2.5666,0,1.2833,0,749.0108
TCGA-IG-A50L,0,0,0.3285,2.9569,2.6283,2.2998,0.9856,0
TCGA-IG-A51D,0,0,0.2723,104.0022,0,1.9058,0,0.8168
TCGA-IG-A5B8,0,0,7.2325,0.4018,0.4018,2.8127,0,0
TCGA-IG-A5S3,0,0,1.0993,3.2979,0.3664,1.8322,6.2294,0
TCGA-IG-A625,0,0,0.3253,2.2773,0,3.2534,1.952,0.3253
TCGA-IG-A6QS,0,0,1.0855,0,0.3618,2.171,0,0.3618
TCGA-IG-A7DP,0,0,11.4332,0.5444,10.3444,0,0,0
TCGA-IG-A8O2,0,0,1.7852,0.5951,0,1.1901,0.2975,0.5951
TCGA-IG-A97H,0,0,0.7987,0.3994,0,9.984,0.3994,0
TCGA-IG-A97I,0,0,0.6008,11.4152,58.5781,13.8184,1.2016,0.6008
