Cancer,labels,Hybridization.REF,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
PACA-CA,0,PCSI_0264_Pa_P,0,0,0,0,0.0989846,0,0
PACA-CA,0,PCSI_0170_Pa_P_526,12.1573,1.38182,0,6.55151,0.0489951,0,0
PACA-CA,0,PCSI_0338_Pa_P_526,11.1414,0,0.257555,3.30959,0.0262488,0,0
PACA-CA,0,PCSI_0572_Pa_P_526,509.897,0.0309301,0,55.3756,0,0.02007,2041.35
PACA-CA,0,PCSI_0145_Pa_P_526,0,0.427007,0.172191,0,0.103936,0,0.840386
PACA-CA,0,PCSI_0268_Pa_P,11.7117,1.21224,0.770207,15.2553,0.42756,0,0
PACA-CA,0,PCSI_0324_Pa_P_526,16.5724,0,0.0845781,1.07006,0,0,0
PACA-CA,0,PCSI_0511_Pa_P,0.0285311,0.199407,0,0.0102915,0,0,0
PACA-CA,0,PCSI_0300_Pa_P_526,0,0,0.131339,0.885381,0.292717,0,0.0718436
PACA-CA,0,PCSI_0274_Pa_P_526,0,0.538804,0.0165059,0.188792,0.676699,0.0130842,0
PACA-CA,0,PCSI_0292_Pa_P_526,0,0,0,0,0.110568,0,0
PACA-CA,0,PCSI_0467_Pa_P_526,0,0,0.0912819,0.49102,0,0,0
PACA-CA,0,PCSI_0015_Pa_P_526,0.752385,0,0,0.563473,1.83555,0,0
PACA-CA,0,PCSI_0230_Pa_P_526,2.98357,0,0,5.21049,0.0100153,0,0.128906
PACA-CA,0,PCSI_0328_Pa_P_526,14.2187,0.519611,0.0432492,7.06074,0.162381,0,0.125021
PACA-CA,0,PCSI_0175_Pa_P_526,0.141934,0,0,0.0628583,0.118787,0,0
PACA-CA,0,PCSI_0161_Pa_P_526,0,0.200721,0.0574451,2.09108,0.362963,0,0
PACA-CA,0,PCSI_0295_Pa_P_526,0,0.113484,0,2.11359,0.461337,0,0.0118516
PACA-CA,0,PCSI_0466_Pa_P_526,28.9336,0.545106,0,27.999,0,0,1.23835
PACA-CA,0,PCSI_0174_Pa_P_526,0,0,0.105829,0,0.0696209,0,0.102666
PACA-CA,0,PCSI_0325_Pa_P_526,0.700198,0,0,1.88401,0,0,0.0971118
PACA-CA,0,PCSI_0269_Pa_P,6.02146,0.0834742,0.278175,7.23915,0,0,0.630907
PACA-CA,0,PCSI_0403_Pa_P,0,1.23882,0.217894,0.270924,0,0,0
PACA-CA,0,PCSI_0402_Pa_P_526,0.670513,0,0,1.97914,0,0,0.0106091
PACA-CA,0,PCSI_0404_Pa_P_526,0,0.483584,0,0,0.210145,0,0.0934039
PACA-CA,0,PCSI_0383_Pa_P_526,0.410815,0,0.269886,0.262426,0.116597,0,0
PACA-CA,0,PCSI_0356_Pa_P_526,0,0,0.998095,2.06273,0,0,0.0244668
PACA-CA,0,PCSI_0384_Pa_P_526,0.0541439,0,0.105852,0.11456,0.243261,0,0.111078
PACA-CA,0,PCSI_0353_Pa_P_526,0,0,0,0.559202,0,0,0
PACA-CA,0,PCSI_0352_Pa_P_526,0,0.0621918,0.393273,0.0663924,0,0,0
