Hybridization.REF,labels,APCS,APOA1,ARG1,FGA,C9,MBL2,LBP
TCGA.CC.5261.01A.01R.A131.07,1,4253.5984,41655.2433,2145.305,62858.122,325.5655,941.7409,2177.5188
TCGA.CC.5262.01A.01R.A131.07,1,32713.93,57610.172,11423.4329,208066.0781,9093.5959,3074.3787,27500.8804
TCGA.CC.5263.01A.01R.A131.07,1,3259.8848,119.3858,804.9904,83416.5067,40.3071,1372.3608,3743.5701
TCGA.CC.5264.01A.01R.A131.07,1,5809.9967,44025.1572,2515.3923,177325.72,8757.3651,4168.8183,9449.52
TCGA.CC.A123.01A.11R.A131.07,1,52134.7012,591123.1044,4424.6209,294839.4291,6716.3247,2336.3069,44448.7065
TCGA.CC.A1HT.01A.11R.A131.07,1,7968.0087,476.6165,34.4313,92113.5963,36.8714,7.32,25379.4225
TCGA.CC.A3M9.01A.11R.A213.07,1,7.7729,17.7048,1.2955,97.5926,3.0228,0.4318,22.0231
TCGA.CC.A3MA.01A.11R.A213.07,1,3184.9543,14731.0889,490.4406,45351.6209,1100.5819,315.4613,752.286
TCGA.CC.A3MB.01A.11R.A213.07,1,13695.0914,131417.1319,3441.001,83665.0626,1842.5409,2130.8951,15214.2445
TCGA.CC.A3MC.01A.11R.A22L.07,1,89346.2153,64166.3625,13725.9522,288635.5831,20391.7872,617.2982,40082.4912
TCGA.CC.A5UC.01A.11R.A28V.07,1,5563.3151,265251.9983,7431.2158,123114.0093,2779.9748,2197.7282,3562.4737
TCGA.CC.A5UD.01A.11R.A28V.07,1,28.2341,1512.8337,45.1745,13413.7577,12.3203,25.154,170.4312
TCGA.CC.A5UE.01A.11R.A28V.07,1,1406.5993,46075.0399,3201.1708,219034.5929,951.57,4922.8313,7541.2453
TCGA.CC.A7IE.01A.21R.A38B.07,1,6546.252,300507.177,14227.2727,135834.1308,883.5726,2254.386,5257.5758
TCGA.CC.A7IF.01A.11R.A33J.07,1,193.2843,491778.458,3722.3761,310953.2664,232.2351,27.1921,2662.6197
TCGA.CC.A7IG.01A.11R.A33J.07,1,9596.8075,22007.4309,1519.7468,31905.3254,204.2108,172.8361,3126.4621
TCGA.CC.A7IH.01A.11R.A33J.07,1,48039.6786,30489.7037,1111.5018,266813.6615,1625.8162,12245.6052,1117.5289
TCGA.CC.A7II.01A.11R.A33J.07,1,53.9749,7055.0612,2.159,864.6781,20.5105,3.2385,93.3766
TCGA.CC.A7IJ.01A.11R.A33R.07,1,9.2742,22.1774,3.2258,62.9032,4043.06452,4.4355,7928.553322
TCGA.CC.A7IK.01A.12R.A33R.07,1,6218.6255,8178.7849,1875.996,51585.1594,3.4861,2912.3506,162.3506
TCGA.CC.A7IL.01A.11R.A33R.07,1,29657.4476,184882.0538,4238.1248,249082.4755,3.9687,2058.291,6193.2283
TCGA.CC.A8HS.01A.11R.A36F.07,1,569.5624,339241.2802,1225.8654,30792.4233,8.8831,1435.9242,3503.5924
TCGA.CC.A8HT.01A.11R.A36F.07,1,10933.9853,81007.9462,7651.5892,61991.4425,1759.78,589.2421,15796.4548
TCGA.CC.A8HU.01A.11R.A36F.07,1,9983.2974,72428.8793,5727.9095,88967.6724,0.5388,20.4741,20340.5172
TCGA.CC.A8HV.01A.11R.A36F.07,1,18519.9253,53689.2902,4963.8854,46732.254,267.746,373.599,6733.4994
