KRT20,10843291;10873083;10912937;10931219;11353065;11420469;11583969;12168796;12739053;12748245;14508391;14767739;15223956;15235893;15260848;15526136;15549428;15567946;15725805;15743037;15743160;15832081;15943996;15952192;16258812;16360234;16680226;16831286;17058219;17527078;17591040;18043033;18067645;18203305;18329969;18392709;18580314;18936968;19094709;19282767;19680592;19921471;20107918;20137822;20450726;20503460;20524437;20594273;20816680;20830246;21060703;21160963;21292296;21424939;21574103;21661435;21744084;21860687;21911893;22175890;22889982;22895264;22970052;23106580;23220842;23268317;23358590;23573322;23919110;23986064;24832159;24837095;25202392;25731429;26182391;26275245;26805159;27410028;27429820;27739441;28078121;28317047;28415560;28505002;29317591;29698701;30194215;30300991;30367665;8878022;15816435;18987940;21106111;21992455;22295147;23891972;25002984;26500334;26603157;28138440;28353562;30377340;16679351;18430455;22786974;24955710;27688085;28002540;29147441
ERBB2,10216129;11261824;11357901;11677943;11895493;12044528;1374219;14752841;15010878;15209630;15645130;15665568;15921858;16061875;16344070;16686942;16857800;17322545;17440093;17690040;18087285;18159174;18397823;18825277;18936968;19084911;19262069;19262900;19331129;19621664;19777609;19956499;20040392;20607690;20655306;20731018;20816680;21492330;22178589;22326466;22499306;23052372;23391555;23828315;24420749;24787096;24839254;24857099;24927194;24997986;25174601;25181339;25536104;25680569;25770659;26022204;26111977;26500333;26571380;27050174;27267833;27517322;27622582;27644637;28285962;28467612;28567120;29416916;29460642;29848569;29914418;29954840;30304546;8683379;8935630;9403719;9537436;15067341;16311342;17595796;19780758;22468084;24799970;24837095;25416598;25712293;26486326;26619359;26758058;27747093;27981460;28223426;28376590;28736630;28843919;29731265;29893894;30155833;30335866;12846405;18081149;20007080;24009453;24255171;24532422;25975284;26857926;27171333;28671339
BCL2,10023698;10617275;11168786;11953819;12031086;12120204;12235080;14606101;15011841;15052690;15057907;15150106;15484294;15551730;15677536;15754044;15816435;16024633;16209266;16317687;16320583;16505435;16784656;16904648;17187167;17287171;17724801;18270973;18854271;18979138;19070389;19358267;19968497;20012722;20458760;20473610;20688607;20724592;21109977;21130731;21394804;21429547;21612698;22162124;22194052;22213475;22425181;22654601;23134201;23274410;23336488;23495740;23619566;23645731;23802572;24178677;24329682;24486723;24566325;24568162;24603952;24655726;24676340;24756644;24869760;24998588;25002984;25074868;25090123;25165862;25170898;25225463;25344679;25633045;25936772;25962180;26427701;26470769;26870236;26925636;27107220;27221911;27499090;28070171;28256505;28353562;28378944;28414551;28670110;28729631;28766687;28902342;29170841;29235470;29408314;29513793;29559246;30084792;30122948;30136419;30382596;8129031;8687162;8916146;8918403;9328309
AFP,1381989;1385251;1709347;2437230;2447308;2456669;2472996;2475736;2854779;3034357;6095018;6204734;6503963;7539881;7679920;7802141;8569609;8574344;8625070;8705462;8859179;8887046;8928700;9022770;9028991;9310245;9658330;9717998;9737569;9879288;10078826;10365850;10912937;10934880;10982619;11086448;11506304;11777213;11963335;12632482;12667323;12913082;15133842;15221469;15529784;15684008;15853991;16119710;16189153;16825940;16843869;17072981;17139428;17374575;17621741;18046064;18065642;18210116;18407604;18417680;19212669;19280285;19793164;20007086;20037429;20149523;20182341;20202823;21042019;21140686;21544480;21666820;21952992;22471500;22848265;23860909;24481592;24507101;24678077;24804133;25132038;25385169;25436361;25921161;25952572;26956962;26973400;27301956;27826554;28011514;28049244;28194091;28970139;29390333;29394574;29394806;29438681;29774134;30215052;30314525;30325540;26028817
MUC2,10227723;10459625;10573510;11295067;11422499;11680592;12094375;12168796;12495310;12739053;12748245;15048136;15071739;15213623;15223952;15223956;15260848;15645288;15725805;15772801;16114133;16116640;16360234;16741522;16794828;16831286;16842244;17058219;17240305;17653761;17761747;18329969;18430455;19094709;19347361;19639217;19680592;19787286;20107918;20168227;20518892;20594273;20714897;20947262;21084962;21106111;21160963;21199202;21412069;21423153;21661435;21700631;21737980;21813159;21922366;22024075;22027009;22175890;22221899;22851859;22882148;22895264;22970052;23073323;23101681;23106580;23316620;23573322;23919110;24832159;24860672;25202392;25343105;25355436;25561191;26057354;26111977;26210654;26275245;26459784;26500334;27739441;27795812;28415560;28505002;28658766;29307199;29698701;30268674;8393843;8903378;9042800;9829723;15549428;18855009;24955710;27688085;28002540
MUC5AC,10227723;11422499;11680592;12168796;12748245;14508831;14563942;15048136;15071739;15213623;15223956;15260848;16116640;16124042;16360234;16596179;16793202;16842244;17653761;18329969;18330960;18392709;18430455;18475301;19094709;19262069;19347361;19446907;19540556;19639217;19784541;19787286;20107918;20518892;20594273;20947262;21084962;21106111;21199202;21412069;21661435;21737980;21813159;21922366;22024075;22027009;22175890;22851859;22895264;23073323;23106580;23573322;23809433;24439226;24458517;24860672;25202392;25355436;25561191;26111977;26210654;26459784;26900302;27310944;27563024;27795812;28338651;28357490;28470400;28490009;28505002;28658766;28892903;29698701;30268674;30349952;8903378;9495202;15725805;16831286;19396965;21287531;23057996;23316620;24468034;25151557;29707118;16679351;21784171;22173169;22221899;26166740;27739441;28002540;28321513
HCCS,16204727;16315947;16850381;19212669;19350315;19760416;20842700;22829097;24118042;24191431;2449824;25353287;25473149;26752112;28043904;28403884;28500365;10414182;11244331;11583969;11783914;12000734;12563151;14508391;15221469;15448317;15722574;16565954;16680226;17151901;17553067;17640714;17729001;18316169;18376797;18393293;18997056;19627020;20471664;20477996;21281432;21412088;21528069;21552419;21666820;21762411;22119409;22194045;22425613;23079207;23175466;24349281;24393884;24530461;24652413;25447030;25537772;25579172;25636086;26202506;26300935;26373763;26386477;26421042;26488875;26634931;26668057;26672766;26735860;26779444;27032374;27077381;27320551;27486793;27797675;28078380;28124105;28449169;28562394;28624005;29130106;29335868;29378174;29470629;29675659;29791202;29879746;30313099;7545644;7621715;8209017;8878022;8908545;9049204
VEGFA,16357152;18395502;21492330;23057767;23704979;24123039;24935374;29416916;29925934;30008874;1940805;9538121;9683809;9828214;11282489;11584965;12469214;12615726;12654561;12744166;15309734;15968728;15972277;16465407;16489179;16489641;16506374;16681930;16900513;17400419;17909206;18087285;18478945;18676870;18946757;19112054;19291182;19319137;19446907;19731027;20082206;20388063;20530271;20545696;20636398;20848225;20943640;21109386;21331764;21748296;21853312;21873469;23382894;23653380;23721191;23828141;23962084;23986064;24185122;24570919;24603459;24603952;24787096;24854099;24857099;24966896;25225463;25344679;25632198;25966433;26179201;26207380;26223884;26299768;26572077;26586401;26656516;26657503;27829278;28212293;28397047;28401021;28423707;29497310;29725387;30344750;25154789;19825989;22200632;28129656;21360081;26451003;18291259
CTNNB1,11309300;11557787;11713577;11906618;12023580;12469220;12607585;12866584;12867802;14562286;15619017;15690474;15915369;16142313;16309224;16311342;16506371;17033799;17187167;17341890;17919228;18199552;18942395;18995208;19262069;19680592;19956499;19956832;20119975;21160963;21459725;21538283;22180306;22281980;22404757;22484120;22664794;22851859;23319036;23646150;23665284;23798555;23799613;23822562;23828315;23905013;24062361;24122302;24141775;24516707;24549785;24594839;24704591;24739824;24816558;24867095;24888903;24889489;25202392;25427641;25632187;25676706;25689251;25893892;26033745;26056085;26111977;26148937;26206664;26448925;26501139;26517522;26572077;26715268;26804919;26972709;27608843;28062160;28422736;28611292;28698100;29353494;29408647;29415992;29416916;29445149;29540696;29547757;29731265;30235453;9537436
VIM,10664295;11020857;11023105;11180864;11420469;11900579;12680226;1314689;14614612;14673730;15048994;15055405;15192540;15483360;1566565;17013725;17643221;1851775;18769829;19299076;19337643;19956832;20168062;20358123;20489148;20513801;20651380;21060703;21333016;21462380;22295147;22379469;22404757;22664794;23091390;23221510;23244128;23382894;23688168;24062361;24063104;24280681;2451557;24623408;24816558;24867095;24955270;24969562;25038821;25344679;25471741;25573292;25644509;25731429;25744243;25892683;25893892;25971332;26043778;26184028;26341967;26448925;26490986;26517522;26670746;26726879;26859217;27073719;27108649;27810781;28096273;28194091;28245089;28423362;28611292;28677740;28873435;28959141;29133140;29344648;29404445;29510695;29732001;30086457;8276377;8872777;8574344
IL6,10534331;10869285;12143044;15192787;15690474;15917303;15921858;15940637;16317687;16336976;16469407;17030071;17060763;17072955;17079474;17241887;17617204;17621267;17897336;18159174;18161917;18260730;18795707;19084911;19396965;19676135;20043322;20146264;21556582;21590167;21932402;21970875;22068162;22906985;22969912;23076270;23110045;23298711;23480772;23645518;24037855;24038588;24443059;24901008;24998588;25038821;25239565;25557794;25573292;25580681;25744243;25910291;25921542;26187786;26228109;26427701;26573191;26718397;27062572;27073719;27335829;27616304;27720942;27769047;28381173;28925763;29410961;29547757;29554539;29675965;29707118;29860474;29909011;30001540;30038723;30218151;30249899;9201097;9527063;9719251;9762547;14598145;22745766;11249201;29693152;7559084
PTGS2,10328326;11357901;11410319;11584358;11585718;11870367;11910351;11920595;11948128;12143044;12143054;12190199;12677571;12730870;12800245;14532968;14598145;14973068;14999691;15057907;15086604;15161010;15250241;15690474;15855925;15862573;15897577;15921858;15968728;16168519;16344070;16361272;16489179;16733863;16755536;16818635;17030071;17165088;17177652;17575102;18081149;18199552;18397823;18507031;19084911;19173916;19218340;19564027;19606394;19621664;19956499;20651971;20655306;20740367;20846124;20937726;21283657;23260331;23900502;23922859;24535250;24699315;24950702;25174601;25225463;25325061;26276523;26423666;26960307;28521485;29725387;19455278;20924037;22186974;22851165;23112962;26456195;26517522;27020207;29559246
IDH1,22180306;22824796;23318457;23391413;24406866;24478380;24563076;24569570;24880135;24889489;25043045;25481493;25485496;25526346;25536104;25608663;26111977;26189129;26245674;26320466;26405193;26717940;26819452;26920730;27102149;27231123;27595804;27621679;27622582;27747093;28078132;28124097;28389139;28403884;28431889;28601826;28818953;29113809;29274619;29309301;29408647;29413685;29460642;29468924;29492607;29551704;29848569;30158952;30206411;30278918;25369307;25636086;26260902;27864835;28297679;28338651;28844952;28975832;29278425;30170977;30218788;30352944;25267595;26500333;27829278;28567120;28736630;29353494;29573058;29698701;29733964;29776636;29893894;24185513;24532422;28375741;29871612;30156013
